instance_id,raw_result,optimal_makespan,accuracy,runtime_seconds
698,11413,8856,77.6,0.001322
699,11474,8045,70.12,0.000647
700,11340,8049,70.98,0.000561
701,2622,1777,67.77,0.000505
702,9703,6828,70.37,0.000395
703,12148,8593,70.74,0.001334
704,30622,23290,76.06,0.003522
705,2875,2033,70.71,0.000443
706,2600,1665,64.04,0.000293
707,893,633,70.88,0.000285
708,8928,6371,71.36,0.000644
709,6855,4874,71.1,0.000283
710,9395,6561,69.84,0.000395
711,13817,9869,71.43,0.00135
712,3989,2745,68.81,0.000508
713,6861,5018,73.14,0.000559
714,8178,5749,70.3,0.000565
715,3063,2376,77.57,0.001357
716,11360,9376,82.54,0.00049
717,28339,22157,78.19,0.003351
718,6061,4296,70.88,0.000565
719,874,674,77.12,0.000645
720,7179,4337,60.41,0.000376
721,5349,4158,77.73,0.000564
722,2341,1484,63.39,0.000387
723,13968,9809,70.22,0.003446
724,20876,14411,69.03,0.003641
725,4912,3257,66.31,0.000393
726,6494,4889,75.28,0.000386
727,2943,2288,77.74,0.001357
728,7878,4799,60.92,0.000375
729,13613,9391,68.99,0.001411
730,12899,9697,75.18,0.000649
731,4062,2925,72.01,0.000294
732,4319,3001,69.48,0.000387
733,6546,5413,82.69,0.001358
734,8647,6608,76.42,0.003375
735,10260,7280,70.96,0.00346
736,7073,5373,75.96,0.000571
737,7094,4845,68.3,0.000291
738,7578,4889,64.52,0.000384
739,8479,5511,65.0,0.000513
740,5376,3847,71.56,0.00064
741,3841,2742,71.39,0.000668
742,11868,7420,62.52,0.000491
743,6765,4248,62.79,0.000373
744,7255,4656,64.18,0.000562
745,11679,8020,68.67,0.000574
746,3878,2673,68.93,0.000572
747,3660,2354,64.32,0.000376
748,16215,12595,77.67,0.001348
749,5463,4394,80.43,0.003502
750,12301,8164,66.37,0.000581
751,6516,4701,72.15,0.000646
752,2695,2139,79.37,0.000567
753,5123,3444,67.23,0.000642
754,12900,9613,74.52,0.000655
755,20308,14198,69.91,0.003495
